filename;obj_type;DicomTag:TagName;TagValue;obj_type2
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.71.3.336529019833.78926129.20230419131816.dcm;image;(0020,0052) : FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010;Other
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.71.3.336529019833.78926130.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;image;(0008,0018) : SOPInstanceUID;1.2.246.352.71.3.336529019833.78926130.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;image;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;image;(0020,000E) : SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080501.20230419131708;Other
RI.1.2.246.352.71.3.336529019833.78926136.20230419131816.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.71.3.336529019833.78926130.20230419131816.dcm;image;(0020,0052) : FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010;Other
RI.1.2.246.352.71.3.336529019833.78926136.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.71.3.336529019833.78926131.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RI.1.2.246.352.71.3.336529019833.78926137.20230419131816.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0008,0018) : SOPInstanceUID;1.2.246.352.71.3.336529019833.78926131.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0020,000E) : SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080501.20230419131708;Other
RI.1.2.246.352.71.3.336529019833.78926137.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.71.3.336529019833.78926131.20230419131816.dcm;image;(0020,0052) : FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010;Other
RI.1.2.246.352.71.3.336529019833.78926138.20230419131816.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.71.3.336529019833.78926132.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RI.1.2.246.352.71.3.336529019833.78926138.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0008,0018) : SOPInstanceUID;1.2.246.352.71.3.336529019833.78926132.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0020,000E) : SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080501.20230419131708;Other
RI.1.2.246.352.71.3.336529019833.78926139.20230419131816.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.71.3.336529019833.78926132.20230419131816.dcm;image;(0020,0052) : FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010;Other
RI.1.2.246.352.71.3.336529019833.78926139.20230419131816.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.71.3.336529019833.78926133.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0008,0018) : SOPInstanceUID;1.2.246.352.71.3.336529019833.78926133.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0020,000E) : SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080501.20230419131708;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.71.3.336529019833.78926133.20230419131816.dcm;image;(0020,0052) : FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.71.3.336529019833.78926134.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0008,0018) : SOPInstanceUID;1.2.246.352.71.3.336529019833.78926134.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0020,000E) : SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080501.20230419131708;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.71.3.336529019833.78926134.20230419131816.dcm;image;(0020,0052) : FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.71.3.336529019833.78926135.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0008,0018) : SOPInstanceUID;1.2.246.352.71.3.336529019833.78926135.20230419131816;Other
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0020,000E) : SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080501.20230419131708;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RI.1.2.246.352.71.3.336529019833.78926135.20230419131816.dcm;image;(0020,0052) : FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010;Other
RP.1.2.246.352.71.5.336529019833.1777377.20230419131051.dcm;plan;(0008,1150) : ReferencedSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
